title,date,source,author,category,label
Foreign Democrat final.,2023-03-10,NY Times,Paula George,Politics,real
To offer down resource great point.,2022-05-25,Fox News,Joseph Hill,Politics,fake
Himself church myself carry.,2022-09-01,CNN,Julia Robinson,Business,fake
You unit its should.,2023-02-07,Reuters,Mr. David Foster DDS,Science,fake
Billion believe employee summer how.,2023-04-03,CNN,Austin Walker,Technology,fake
Method purpose mission approach professor short.,2023-12-02,Reuters,Sherri Fry,Health,real
Laugh member step.,2022-06-01,CNN,Alyssa Young,Business,fake
Center measure difference dark.,2024-12-31,NY Times,Tina Garrett,Sports,fake
Moment make those affect first difference.,2022-09-08,Fox News,Heather Greene,Entertainment,fake
Reason physical contain total decision.,2022-11-08,Daily News,Erin Hanson,Health,real
Whose particular contain current those.,2024-06-24,Global Times,Douglas Evans,Science,real
Region itself from machine forget.,2025-02-10,Fox News,Andrew Chapman,Politics,real
Believe short Mrs parent read drug behind.,2022-04-27,Daily News,Diane Hayden,Sports,real
Bag national play wall prevent imagine design.,2023-07-17,CNN,Roy Trujillo,Sports,fake
Simple support writer husband left tough.,2025-03-04,The Guardian,Gerald Jenkins,Technology,real
Concern nice idea different.,2023-09-17,BBC,Karen Floyd MD,Politics,real
Almost gun system you.,2024-09-14,NY Times,James Williams,Business,real
Nothing firm hand employee.,2024-11-20,Fox News,David Burgess,Business,fake
Cut somebody skill.,2024-10-15,Global Times,Andrew Robinson,Sports,fake
Discover quite less option firm.,2024-04-18,Fox News,,Business,fake
Alone prepare receive prove house.,2023-12-17,Global Times,Jacqueline Matthews,Business,fake
Show technology product alone seem.,2023-10-19,,Nicole Baker,Entertainment,fake
Election finish rather social business center.,2024-11-24,NY Times,John Lynn,Health,real
Organization total about garden attack.,2022-08-05,,Tonya Anderson,Business,real
Decide rather itself heavy section.,2023-02-24,The Guardian,John Turner,Business,real
Quickly even new mind science gun.,2022-08-12,Daily News,Stephen Parks,Health,real
Early police series kind soon area.,2023-06-28,CNN,Desiree Castro,Sports,real
Next society in help in institution.,2023-02-12,NY Times,Kathy Cabrera,Technology,real
Word PM stop thus call catch offer.,2023-08-30,Fox News,Melanie Harding,Business,fake
Step data enter news plan per to development.,2023-11-19,Reuters,Maria Walker,Sports,real
Notice manager citizen view practice him.,2025-03-17,The Guardian,John Jordan,Science,real
Seven letter factor into.,2022-05-26,BBC,Thomas Carney,Business,fake
Soldier since information.,2023-09-23,Fox News,Daniel Bryan,Health,real
In away wide power.,2022-04-26,Fox News,Amy Wolf,Health,real
Any reveal stock language woman south.,2024-04-27,Daily News,Michael Meadows,Science,real
Read physical entire across.,2023-10-07,Reuters,Brianna Obrien,Politics,real
Feeling man them southern region situation alone.,2023-12-16,Global Times,Robert Wilson,Entertainment,fake
Street product contain easy reveal never.,2023-01-15,The Guardian,Devon Phillips,Sports,fake
Force newspaper least like truth wide.,2023-08-15,NY Times,Robert Mcclure,Business,fake
Night impact explain shoulder unit.,2022-12-15,Global Times,Marcus Cooke,Technology,real
Discuss over consider impact.,2022-07-06,Global Times,Matthew Smith,Technology,fake
Again past try identify both wonder.,2023-08-22,Reuters,Jon Zamora,Health,fake
Surface into there simple wait today.,2023-03-14,Daily News,Emily Bradley,Entertainment,fake
Happen movie several themselves health western.,2023-08-06,CNN,Karl Morales,Business,fake
Bill way world.,2023-04-21,NY Times,Andrea Hicks,Entertainment,fake
Individual year method somebody.,2023-03-25,The Guardian,Brian Hull,Entertainment,fake
Care manage visit account treatment eight both.,2024-03-12,NY Times,Ernest Bell,Business,real
Region head over someone discuss stay home up.,2022-07-09,Global Times,Christina Christian,Technology,fake
Too American still future.,2022-09-18,NY Times,Cheryl Wilson,Entertainment,fake
Fly writer window start fast senior natural.,2023-05-26,CNN,Tyler Melton,Technology,real
Term indicate product poor before thank western.,2022-04-30,Global Times,Mark Vega,Science,fake
Room quite season lawyer.,2025-02-05,Global Times,Michael Bradley,Health,fake
Risk describe fight clear else learn official.,2025-03-27,,Ian Rogers,Entertainment,real
Stand think however.,2024-07-27,Fox News,Brandon Pittman,Sports,real
Majority poor spend trade.,2022-05-22,Fox News,Micheal Bennett,Business,fake
People box half of other building field decide.,2023-05-06,Fox News,,Politics,fake
Kind information memory off name part.,2024-01-11,Global Times,Kristen Wilson,Health,fake
Wait discussion discover arrive public.,2023-07-25,BBC,Jessica Martinez,Science,real
Right per I car child give.,2023-07-09,Reuters,John Newman,Entertainment,fake
Police see start commercial.,2023-02-23,Daily News,Kenneth Bright,Science,fake
Push ahead yeah believe project movement.,2024-01-18,Fox News,Stacy Crawford,Health,fake
City technology act country election.,2023-02-20,NY Times,Kyle Williams,Business,real
Training bring light visit.,2024-11-15,Global Times,Shari Obrien,Sports,real
Up financial reduce situation court.,2022-09-08,Global Times,Kimberly Little,Technology,fake
Level character newspaper matter similar watch.,2023-03-22,CNN,Joshua Kelly,Technology,fake
Blood movie just design knowledge.,2023-06-01,The Guardian,Laurie Hill,Health,fake
Question also give consumer plan west among.,2024-11-12,Daily News,Christopher Morrison,Health,fake
Challenge place drop challenge some though apply message.,2024-01-09,Reuters,Kelli Shea,Entertainment,fake
Game design finish movement good machine.,2022-11-28,Fox News,Alexis Gallegos,Politics,fake
Newspaper work all important ability between get trial.,2024-08-05,Reuters,Todd Matthews,Business,fake
Require carry million card themselves main trouble.,2023-02-25,Fox News,Michael Mendez,Technology,fake
Town read reality full do total.,2024-04-02,Reuters,Jordan Brown,Health,fake
Herself force member raise it religious.,2023-06-05,Global Times,,Sports,real
Financial firm model media star.,2023-06-15,Global Times,Richard Reese,Health,real
Knowledge window while environment.,2022-09-23,Daily News,Brian Garcia,Sports,fake
City picture financial must.,2025-04-18,The Guardian,Kimberly Soto,Entertainment,real
Later factor thus back.,2022-11-30,Global Times,Angela Holmes MD,Entertainment,real
Finish nearly five southern manage point work.,2022-05-10,Global Times,,Health,real
Enjoy least add left study.,2022-09-29,Global Times,Gloria Byrd,Health,real
Cultural street another couple standard.,2024-01-13,Global Times,Meghan Moore,Science,real
Already amount safe prepare keep.,2024-04-01,CNN,,Technology,fake
Administration upon stuff across agree southern production catch.,2022-05-12,NY Times,Sabrina Phillips,Business,fake
Religious water modern manage whether low.,2024-02-19,The Guardian,Melissa Bishop,Technology,fake
Stay site way.,2024-03-20,Global Times,Joanna Skinner,Entertainment,real
Throughout since every citizen.,2023-10-14,The Guardian,Emily Cook,Business,fake
Like challenge security go.,2024-04-05,Reuters,Keith Beck,Science,real
With like staff where a nature.,2025-03-06,Fox News,William Wong,Entertainment,fake
Bar miss student manager but.,2022-05-09,Reuters,,Business,real
Lawyer artist collection skill cost why morning large.,2024-02-27,BBC,Matthew Jones,Business,fake
Item describe kid night.,2023-08-24,CNN,,Technology,fake
Enter each town forget worry modern science.,2023-04-12,Global Times,Jason Peterson,Science,fake
Upon because bad six including bill.,2025-02-27,NY Times,Jerry Rose,Science,fake
Language clear take fast vote reflect wind.,2024-04-02,Fox News,Ashley Mcgee,Sports,real
Commercial single hear door nearly their author.,2023-09-07,The Guardian,Shawn Mckee,Business,fake
Fill business many culture find.,2024-10-26,,Megan Hernandez,Sports,real
White worker west away always.,2023-07-13,Global Times,Desiree Long,Business,fake
Peace what poor popular site three trouble.,2024-10-23,Daily News,Allison Contreras,Science,real
Few ask that but.,2022-05-25,NY Times,Heidi Mcclain,Science,real
Guess against receive doctor.,2023-12-22,BBC,Donna Martinez,Sports,fake
So myself a answer artist garden easy.,2024-07-25,NY Times,Charles Torres,Science,fake
Whole collection bar language affect.,2023-07-22,Fox News,Derrick Roberts,Politics,real
Play food note center customer.,2022-12-16,,Bethany Garcia,Entertainment,fake
Middle line suffer.,2024-06-08,Fox News,Kevin Flynn,Technology,fake
Involve be order human.,2022-12-10,Fox News,Katherine Ruiz,Sports,fake
Key wrong business role.,2025-04-21,Reuters,Brett Bailey,Business,real
Everyone case join record interest hand couple.,2023-08-20,Reuters,Kristina Hawkins,Sports,real
Happy front mean production.,2022-12-22,Global Times,Heather Fowler,Business,fake
Method across result audience director.,2024-07-13,Reuters,Sherri Johnson,Business,fake
Type these method natural in him lead.,2023-05-30,Global Times,Nathaniel Thomas,Science,real
Among friend car prove war.,2023-11-27,Reuters,Maria Carlson,Sports,fake
Continue ago nothing main we.,2022-10-11,CNN,Marcus Jones,Science,fake
Foreign there I guy international determine dream.,2024-08-03,Reuters,Javier Griffin,Technology,real
Fall drop foreign fine section above value.,2023-01-03,NY Times,Luis Carlson,Technology,real
Wrong art step when on.,2024-02-29,NY Times,Kristen Thomas,Technology,real
Couple trade speech international base.,2024-06-13,CNN,Crystal Bruce,Health,real
Over send idea street program far tax.,2025-01-15,,Kimberly Howard,Health,fake
Record act hospital take value.,2024-09-06,Reuters,Heather Villa,Politics,real
Whom before quality the part owner.,2023-01-08,Fox News,Cameron Patel,Politics,real
Mrs best leave a police into analysis.,2022-09-18,NY Times,Leslie Wilson,Entertainment,real
Customer show television moment.,2022-12-01,Daily News,Dr. Joseph Irwin,Sports,real
Whole plan read without use step believe.,2024-03-09,CNN,Dr. Nicole Hartman,Health,fake
Perhaps into certain let sea event.,2024-05-17,BBC,Javier Williams,Entertainment,real
Onto factor modern arrive black list fast.,2022-09-26,CNN,Jessica Hernandez,Health,fake
Article theory great.,2022-10-22,Daily News,Jonathon Lambert,Politics,fake
Fight sort learn amount travel.,2023-12-05,Fox News,Megan Boyd,Science,fake
Serve former beat performance Mrs until wife.,2023-03-08,The Guardian,Kevin Smith,Business,fake
Go see hear instead also maybe seven.,2023-03-29,The Guardian,Lori Melendez,Politics,fake
Economy sit air space.,2025-04-15,Global Times,Melissa Webb,Science,fake
